"X","text","textClean","bigrams"
89,"Ik heb er 2 en mijn man is geholpen ","2 man geholpen",NA
90,"ik ben de komende drie jaar nog niet financieel stabiel genoeg voor een kind en ik wil eerst mijn master afmaken en wellicht nog verder studeren voordat ik aan een kind begin. ","komende jaar financieel stabiel genoeg kind master afmaken wellicht studeren kind begin","financieel_stabiel stabiel_genoeg master_afmaken kind_begin"
91,"Ik heb nu 2 gezonde kinderen. De jongste had een koemelk allergie waardoor het eerste jaar heel erg zwaar was. Nu hebben we het goed. Een derde erbij lijkt me heel leuk als het ons gegeven is. Maar zo is het ook goed als dat niet zo is. Voorlopig nog even niet in elk geval ","2 gezonde kinderen jongste koemelk allergie waardoor jaar zwaar goed erbij leuk gegeven goed voorlopig geval","2_gezonde gezonde_kinderen koemelk_allergie allergie_waardoor"
92,"Mijn gezondheid. De kans op complicaties bij mijzelf is vrij groot. Daarnaast slik ik medicijnen die niet kunnen in combinatie met een zwangerschap. De angst dat mijn partner alleen of met baby achterblijft is bij ons beide heel erg groot. Dit op het spel zetten, weegt niet op tegen hel gelukkig we samen zijn ","gezondheid kans complicaties groot daarnaast slik medicijnen combinatie zwangerschap angst partner baby achterblijft groot spel zetten weegt hel gelukkig","groot_daarnaast daarnaast_slik baby_achterblijft spel_zetten zetten_weegt hel_gelukkig"
93,"ip willen we maar 2 kinderen. maar soms twijfelen we of we misschien toch nog een derde kindje willen. ","ip 2 kinderen soms twijfelen kindje","2_kinderen soms_twijfelen"
94,"De vraag: Bent u van plan een kind te krijgen in de komende drie jaar? We bedoelen hier uitsluitend biologische kinderen. is pijnlijk, omdat wij al 6 jaar bezig zijn en wij elk jaar wel denken: dit jaar is ons jaar. Dus een kind krijgen, dat zeg je niet. Je mag in je handen knijpen als het je gegund is. ","vraag plan kind krijgen komende jaar bedoelen uitsluitend biologische kinderen pijnlijk 6 jaar bezig jaar denken jaar jaar kind krijgen zeg handen knijpen gegund","uitsluitend_biologische biologische_kinderen 6_jaar jaar_bezig kind_krijgen handen_knijpen"
95,"momenteel is het gezin compleet met 2 kinderen meer kinderen is niet onze wens; zou te druk zijn, teveel van ons vragen, wil niet nogmaals narigheid van bevalling etc. jonge kinderen verzorgen vergt veel tijd en energ","momenteel gezin compleet 2 kinderen kinderen wens druk teveel vragen nogmaals narigheid bevalling jonge kinderen verzorgen vergt tijd energ","gezin_compleet 2_kinderen nogmaals_narigheid jonge_kinderen kinderen_verzorgen verzorgen_vergt"
96,"Ik vind dat ik genoeg kinderen heb het gaat om de kwaliteit niet kwantiteit ","vind genoeg kinderen gaat kwaliteit kwantiteit","genoeg_kinderen"
97,"Ik ben nog jong. Waarschijnlijk ben ik dan nog niet klaar met mijn master. Als je een kind wil, moet je eerst een goede baan hebben en het geld hebben om het kind goed te kunnen verzorgen. ","jong master kind goede baan geld kind goed verzorgen","goede_baan kind_goed"
98,"ik wil geen kinderen meer krijgen. ik heb al 3miskramen gehad na de jongste. ik heb hier 3 keer met spoed op de o.k. gelegen. dit heb ik er niet meer voor over ","kinderen krijgen 3miskramen jongste 3 keer spoed o k gelegen","3_keer o_k k_gelegen"
99,"Bewuste keuze ","bewuste keuze","bewuste_keuze"
100,"Op dit moment vind ik mijzelf en mijn man gewoon te oud om nog kinderen te krijgen. Ik vind het belangrijk dat ik voldoende energie en aandacht kan geven aan al mijn kinderen en dat wordt als je ouder wordt gewoon minder. Ik wilde altijd meer kinderen dan drie, maar ik heb gemerkt dat de kinderen die ik heb gekregen zo veel aandacht en zorg vragen dat ik blij ben dat ik er maar drie heb gekregen. ","moment vind man oud kinderen krijgen vind belangrijk voldoende energie aandacht geven kinderen ouder wilde kinderen gemerkt kinderen gekregen aandacht zorg vragen blij gekregen","moment_vind voldoende_energie zorg_vragen"
101,"Gaat het lukken? Zal het kindje gezond zijn? Kunnen we het aan? Zowel qua financiÃ«n als qua steun uit onze omgeving? Zullen we leuke ouders zijn? Is het leven met kinderen minder leuk of juist leuker? Mijn man en ik zijn niet zo traditioneel (qua genderrollen): ga ik dan heel erg last krijgen van de moedermaffia? Ga ik veranderen door de hormonen (qua lichaam, maar ook qua geest)? Hoe zal het te combineren zijn met werk? Ga ik vrienden verliezen hierdoor? Hoe verandert het de relatie met onze eigen families? In beide gevallen zijn die op zijn minst â€˜interessantâ€™. Zal ons kindje wit of donker zijn (wij hebben een andere huidskleur) en moeten we daar dan rekening mee houden omdat de wereld daar wat van vindt? ","gaat lukken kindje gezond zowel qua financiãn qua steun omgeving leuke ouders leven kinderen leuk leuker man traditioneel qua genderrollen ga last krijgen moedermaffia ga veranderen hormonen qua lichaam qua geest combineren werk ga vrienden verliezen hierdoor verandert relatie families gevallen minst âinteressantâ kindje wit donker huidskleur rekening mee houden wereld vindt","kindje_gezond zowel_qua qua_financiãn qua_steun leuke_ouders traditioneel_qua qua_genderrollen genderrollen_ga last_krijgen moedermaffia_ga hormonen_qua qua_lichaam qua_geest werk_ga vrienden_verliezen verliezen_hierdoor minst_âinteressantâ kindje_wit rekening_mee mee_houden"
102,"Ik ben pas 24 en ben nog bezig met een studie. Ik wil eerst mijn studie halen en een vaste baan hebben voordat ik begin aan kinderen ","24 bezig studie studie halen vaste baan begin kinderen","studie_halen vaste_baan"
103,"Lijkt mij een mooie toevoeging aan het leven. Mooi als je iemand de mooie dingen van het leven kan geven. Tuurlijk is het ook een grote verantwoordelijkheid, dat kan mij soms wel onzeker maken. ","mooie toevoeging leven mooi mooie dingen leven geven tuurlijk grote verantwoordelijkheid soms onzeker","mooie_toevoeging leven_mooi mooie_dingen geven_tuurlijk grote_verantwoordelijkheid"
104,"Ik wil graag kinderen, maar in ieder geval nog niet in de komende 2 jaar. Als ik de situatie nu inschat dan zou ik wel over 3-5 jaar een eerste kind willen krijgen. ","graag kinderen geval komende 2 jaar situatie inschat 35 jaar kind krijgen","graag_kinderen komende_2 2_jaar 35_jaar"
105,"Ons gezin is compleet. Mijn vriend en ik zijn gelukkig met 2 kinderen ","gezin compleet vriend gelukkig 2 kinderen","2_kinderen"
106,"Als ik zou trouwen wil ik nog zeker 2 kinderen erbij ","trouwen zeker 2 kinderen erbij","zeker_2 2_kinderen kinderen_erbij"
107,"Lastig als je partner al niet eens wilt samenwonen. Kinderen is dan helemaal nog een stap te ver ","lastig partner wilt samenwonen kinderen helemaal stap ver","wilt_samenwonen samenwonen_kinderen"
108,"De bevalling van mijn jongste dochter heb ik op het nippertje overleefd en aan de beademing op de IC gelegen wegens massaal bloedverlies. Ik zal dus nooit meer een risico nemen hierin en ben gelukkig met mijn gezin zoals dat nu is. ","bevalling jongste dochter nippertje overleefd beademing ic gelegen massaal bloedverlies risico gelukkig gezin","jongste_dochter nippertje_overleefd ic_gelegen massaal_bloedverlies"
109,"Op jonge leeftijd heb ik besloten al graag kinderen te willen. Ik heb op dit moment een stabiele relatie, met wie ik het voor me zie om kinderen te krijgen. Onzekerheid zit het in het fysieke (is het qua gezondheid mogelijk om kinderen te krijgen). Zekerheid zit het in mijn wens om kinderen te krijgen, mijn vriend deelt deze wens. ","jonge leeftijd besloten graag kinderen moment stabiele relatie zie kinderen krijgen onzekerheid zit fysieke qua gezondheid mogelijk kinderen krijgen zekerheid zit wens kinderen krijgen vriend deelt wens","jonge_leeftijd graag_kinderen stabiele_relatie krijgen_onzekerheid onzekerheid_zit qua_gezondheid gezondheid_mogelijk krijgen_zekerheid zekerheid_zit vriend_deelt"
110,"Ik ben nog te jong om hier een zeker uitspraak over te maken ","jong zeker uitspraak","zeker_uitspraak"
111,"Ik ben momenteel net 26 geworden. Ik vind mijzelf momenteel nog te jong voor kinderen en verwacht ook niet voor mijn 29e aan kinderen te beginnen. ","momenteel 26 geworden vind momenteel jong kinderen verwacht 29e kinderen beginnen","26_geworden"
112,"Geen relatie ","relatie",NA
113,"Ik heb mijn dochter helaas niet kunnen krijgen op de natuurlijke manier. Dat hele ziekenhuis traject daar wil ik niet nog een keer in. Naomi is na 3 jaar gekomen en daar zijn wij heel dankbaar voor en het is goed zo. ","dochter helaas krijgen natuurlijke manier hele ziekenhuis traject keer naomi 3 jaar gekomen dankbaar goed","dochter_helaas natuurlijke_manier hele_ziekenhuis ziekenhuis_traject 3_jaar jaar_gekomen"
114,"Eerst wil ik financieel stabiel zijn en een huis hebben gekocht met mijn vriend voordat we kinderen mogen krijgen. Dit is op dit moment nog niet aan de orde. ","financieel stabiel huis gekocht vriend kinderen krijgen moment orde","financieel_stabiel"
115,"Ik heb een dochter van 16 en wil echt geen kinderen meer ","dochter 16 echt kinderen",NA
116,"Ik ben momenteel 23 en studeer nog. Als ik zonder vertraging mijn studie voltooi, dan ben ik 27. ik weet nog niet zeker of ik daarna nog een master wil doen of niet en het lijkt mij niet verstandig kinderen tijdens mijn studie te krijgen. ","momenteel 23 studeer vertraging studie voltooi 27 weet zeker master verstandig kinderen studie krijgen","momenteel_23 studie_voltooi verstandig_kinderen"
117,"Ik ben 43 jaar. De jongste is 11. Raymond is mijn man. Ben vergeten in te vullen dat hij ook kinderen heeft. Wij hebben 3 kinderen, waarvan er eentje is overleden. Wij zijn klaar! ","43 jaar jongste 11 raymond man vergeten vullen kinderen 3 kinderen waarvan eentje overleden","43_jaar 11_raymond 3_kinderen kinderen_waarvan"
118,"Wij hebben samen twee kinderen, dat is voor ons geno","kinderen geno",NA
119,"We hebben twee kinderen en dat vinden we genoeg ","kinderen vinden genoeg",NA
120,"Geen partner momenteel ","partner momenteel","partner_momenteel"
121,"Wij willen heel graag een groot gezin eerst wilde ik meer kinderen maar dat is bijna niet meer te betalen vooral de opvang is mega duur. ","graag groot gezin wilde kinderen betalen opvang mega duur","groot_gezin mega_duur"
122,"Ik wil nu geen kinderen. Ik heb geen partner en ben net begonnen met werken. Daarnaast moet ik ook nog een studieschuld afbetalen en kinderen kosten veel geld. Ook kan ik nu geen kinderen opvoeden omdat ik er niks van weet. ","kinderen partner begonnen werken daarnaast studieschuld afbetalen kinderen kosten geld kinderen opvoeden weet","werken_daarnaast studieschuld_afbetalen kinderen_kosten kinderen_opvoeden"
123,"Mijn gezin is compleet ","gezin compleet",NA
124,"Ik ben nu nog bezig met school en carriÃ¨re maken. Hierdoor heb ik nu geen tijd voor kinderen. Zodra mijn school klaar is (over 3 jaar) heb ik nog alle tijd om kinderen te krijgen. Echter moet dit via een IVF trjacet omdat wij niet op een normale manier zwanger kunnen worden ","bezig school carriãre hierdoor tijd kinderen school 3 jaar tijd kinderen krijgen ivf trjacet normale manier zwanger","3_jaar ivf_trjacet normale_manier manier_zwanger"
125,"Ik ben zeker omdat mijn man en ik zijn van plan om over drie weken weer gaan proberen om zwanger te worden. Ik heb twee kinderen. De oudste wordt binnenkort 3. Toen hij 4 maanden oud was of zo, wisten we zeker dat wij nog een kind wilden. Mijn jongste is nu 8 maanden oud. Toen hij 7 weken oud was, wisten we zeker dat wij nog een kind wilden.  Ik ben 38 en wordt binnen een half jaar 39. Ik heb mijn verloskundige gevraagd hoe lang we moeten wachten (want WHO zegt 18 maanden) en zij heeft aangegeven 9 maanden. Wij waren blij dat wij geen 18 maanden moeten wachten want anders zou ik te oud voor, vinden we. Ik raakte zwanger met mijn eerste bij de eerste poging, en met mijn tweede by de derde poging, dus wij zijn optimistisch dat ik snel zwanger zal raken dit keer ook. ","zeker man plan weken gaan proberen zwanger kinderen oudste binnenkort 3 4 maanden oud wisten zeker kind jongste 8 maanden oud 7 weken oud wisten zeker kind 38 half jaar 39 verloskundige gevraagd lang wachten who zegt 18 maanden aangegeven 9 maanden blij 18 maanden wachten oud vinden raakte zwanger poging by poging optimistisch snel zwanger raken keer","gaan_proberen binnenkort_3 4_maanden maanden_oud 8_maanden maanden_oud 7_weken weken_oud half_jaar jaar_39 verloskundige_gevraagd who_zegt zegt_18 18_maanden aangegeven_9 9_maanden 18_maanden raakte_zwanger snel_zwanger"
126,"Afhankelijk van carriÃ¨re ontwikkelingen ","afhankelijk carriãre ontwikkelingen","carriãre_ontwikkelingen"
127,"ik ben er zeker van omdat ik 40 ben en dat vind ik te oud om nog kinderen te krijgen. Tevens heeft mijn man een vasectomie ondergaan dus het kan niet meer. ","zeker 40 vind oud kinderen krijgen tevens man vasectomie ondergaan","krijgen_tevens vasectomie_ondergaan"
128,"Ik zou heel graag kinderen willen, maar ik ben op dit moment nog op een leeftijd dat ik ook nog graag de tijd samen met mijn vriend wil hebben om mooie reizen te maken en de tijd voor ons tweeÃ«n heb. Daarnaast ben ik net begonnen met werken en wil ik voorlopig nog fulltime werken. Zodra ik kinderen heb zou ik liever maximaal 32 uur willen werken. Bovendien ben ik nog pas 24 en dat vind ik nog vrij jong. Het lijkt me ook best een opoffering in je eigen leven om kinderen te krijgen, want je hebt ineens (zeker als ze jong zijn) veel minder vrijheid. ","graag kinderen moment leeftijd graag tijd vriend mooie reizen tijd tweeãn daarnaast begonnen werken voorlopig fulltime werken kinderen maximaal 32 uur werken 24 vind jong best opoffering leven kinderen krijgen ineens zeker jong vrijheid","graag_kinderen mooie_reizen fulltime_werken maximaal_32 32_uur ineens_zeker"
129,"Of dit Ã¼berhaupt mag lukken. ","ãberhaupt lukken",NA
130,"Ik ben er volledig klaar mee. een nieuwe baby belemmert ons weer in heel veel dingen.  Ik ben ook ziek geweest waardoor hormonen van invloed kunnen zijn op hernieuwd ziektebeeld ","volledig mee nieuwe baby belemmert dingen ziek waardoor hormonen invloed hernieuwd ziektebeeld","nieuwe_baby baby_belemmert waardoor_hormonen hernieuwd_ziektebeeld"
131,"Ik zou dan 26 zijn wat ik erg jong vind. Maar nog belangrijker. Ik ben dan net afgestudeerd. Dus kinderen krijgen heeft dan n groot effect op mijn carriÃ¨re. Ik denk dat t lastig is om n baan te vinden als je zwanger bent. En zo vroeg n pauze nemen in t werkleven is ook n finesse voor je kennis. Plus tis financieel n vrij onzekere tijd om kinderen te krijgen ","26 jong vind belangrijker afgestudeerd kinderen krijgen n groot effect carriãre denk t lastig n baan vinden zwanger n pauze t werkleven n finesse kennis plus tis financieel n onzekere tijd kinderen krijgen","jong_vind kinderen_krijgen n_groot groot_effect t_lastig n_baan n_pauze t_werkleven n_finesse kennis_plus plus_tis tis_financieel financieel_n onzekere_tijd"
132,"Gezien mijn leeftijd (21) zie ik het voor me om in de komende drie jaar kinderen te krijgen. Ik vind mijzelf dan nog te jong. Voordat ik begin aan kinderen wil ik nog reizen en een opleiding afronden. Daarnaast zou ik stabiliteit willen, een (ruime) woning en een vaste baan. ","gezien leeftijd 21 zie komende jaar kinderen krijgen vind jong begin kinderen reizen opleiding afronden daarnaast stabiliteit ruime woning vaste baan","leeftijd_21 21_zie jaar_kinderen opleiding_afronden afronden_daarnaast ruime_woning vaste_baan"
133,"Drie gezonde kinderen met ivf behandelingen ","gezonde kinderen ivf behandelingen","gezonde_kinderen ivf_behandelingen"
134,"Ik ben nog een beetje jong ","jong",NA
135,"Leeftijd ","leeftijd","NA_NA"
136,"Het is een hele verantwoordelijkheid, maar het lijkt ons wel mooi om kinderen te krijgen. Blijft lastig om zelf aan te besluiten dat je er klaar voor bent. ","hele verantwoordelijkheid mooi kinderen krijgen blijft lastig besluiten","hele_verantwoordelijkheid krijgen_blijft blijft_lastig"
137,"Ik wil heel graag kinderen krijgen. Ik zie mijzelf echt als moeder. Het is natuurlijk echter de vraag of het ook lukt om kinderen te krijgen. ","graag kinderen krijgen zie echt moeder natuurlijk vraag lukt kinderen krijgen","graag_kinderen kinderen_krijgen"
138,"Ik ben nog student en dus geen baan, geen salaris en geen opties om een kind op te voeden. Over 2,5 jaar ben ik afgestudeerd als arts (als alles volgens plan verloopt) en eenmaal in opleiding voor een bepaalde specialisatie doet zich de mogelijkheid voor om over kinderen na te denken. Daarvoor is het qua geld en tijd niet mogelijk. ","student baan salaris opties kind voeden 2 5 jaar afgestudeerd arts plan verloopt eenmaal opleiding bepaalde specialisatie mogelijkheid kinderen denken daarvoor qua geld tijd mogelijk","2_5 5_jaar plan_verloopt bepaalde_specialisatie denken_daarvoor qua_geld"
139,"De wens bestaat zeker, maar de kans bestaat ook dat het niet lukt. Of dat ik er vanwege mijn carriÃ¨re straks geen wens meer tot heb. ","wens bestaat zeker kans bestaat lukt carriãre straks wens","wens_bestaat bestaat_zeker kans_bestaat carriãre_straks"
140,"Ik ben ouder dan 40 jaar ","ouder 40 jaar","40_jaar"
141,"ik wil graag eerst een groter huis voordat er kinderen kunnen komen ","graag groter huis kinderen komen","groter_huis"
142,"Geen kinderwens en leeftijd ","kinderwens leeftijd",NA
143,"Of ik het financieel en praktisch geregeld kan krijgen ","financieel praktisch geregeld krijgen","praktisch_geregeld"
144,"Ik zou graag kinderen willen maar je weet nooit hoe het leven loopt van te voren. Misschien kan ik geen kinderen krijgen of heb ik op dat moment geen partner die kinderen wilt... Ik laat het gewoon op me af komen en als de tijd en situatie er is dan komt het wel. ","graag kinderen weet leven loopt voren kinderen krijgen moment partner kinderen wilt laat komen tijd situatie komt","graag_kinderen leven_loopt kinderen_krijgen kinderen_wilt"
145,"Ik wil graag een vast inkomen, goed huisje en een vaste relatie ","graag vast inkomen goed huisje vaste relatie","vast_inkomen inkomen_goed goed_huisje vaste_relatie"
146,"Ik heb een onregelmatige cyclus en ben zwanger met clomid. Daardoor, en ook doordat ik zelf [functie] ben, weet ik dat het niet vanzelf gebeurt. Wij willen wel heel graag nog een derde (liefst 4 in totaal maar dat is wat veel met onze carriÃ¨res..) ","onregelmatige cyclus zwanger clomid doordat functie weet vanzelf gebeurt graag liefst 4 totaal carriãres","onregelmatige_cyclus vanzelf_gebeurt liefst_4"
147,"Ik heb geen partner. Daarnaast vind ik het leeftijdsverschil tussen een eventuele baby en mijn zoon te groot inmiddels ","partner daarnaast vind leeftijdsverschil eventuele baby zoon groot","partner_daarnaast daarnaast_vind eventuele_baby"
148,"Ik heb NAH daardoor ben ik chronisch vermoeid en heb last van prikkels. Op het moment is het daarom voor mij niet reÃ«el om kinderen re krijgen. ","nah chronisch vermoeid last prikkels moment reãel kinderen re krijgen","chronisch_vermoeid kinderen_re re_krijgen"
149,"Mijn partner is jÃ¡ren geleden gesteriliseerd en ik zou dan naar een IVF-kliniek moeten voor een kind. ","partner jãren gesteriliseerd ivfkliniek kind",NA
150,"Ik ben nu heel snel zwanger geraakt en zal niet bang zijn om niet meer zwanger te kunnen raken.  Ik vind het alleen nu wel spannend hoe het gaat lopen met de corona vaccinaties ed. ","snel zwanger geraakt bang zwanger raken vind spannend gaat lopen corona vaccinaties ed","snel_zwanger zwanger_geraakt gaat_lopen corona_vaccinaties vaccinaties_ed"
151,"Geen kinderen omdat:  * Chronisch ernstig ziek. Hierdoor is een zwangerschap en bevalling waarschijnlijk te zwaar. Ook de opvoeding kan ik fysiek nu niet aan. Kan het een kind niet aandoen om met een zieke moeder te zitten die nauwelijks iets kan. Een kind hoort lekker kind te kunnen zijn, geen verzorger voor z'n ouder. * Heb geen relatie waardoor het praktisch gezien al lastiger is om een kind te krijgen. Wil niet alleen ouder worden vanwege mijn gezondheid. Verder wil ik een kind een stabiele relatie aanbieden. Dat die weet dat die uit liefde geboren is. Niet omdat ik zo nodig een kind moest krijgen en daarom maar bijv. voor een spermadonor heb gekozen. Dat voelt egoÃ¯stisch aan.  Bovenstaande punten zijn de belangrijkste redenen, deze volgen later: * Het wordt financieel lastig om rond te komen. Zit nu al krap bij kas dankzij mijn uitkering (gelukkig en dankbaar dat ik die krijg, anders heb ik geen inkomen meer). Wil niet dat een kind in armoede opgroeit. Luxe is niet nodig, maar zonder zorgen de basisdingen kunnen kopen (eten, kleding, enz.) zou fijn zijn. Wil een kind niet met dat soort zorgen opzadelen. Hoe klein ze ook zijn, ze merken het wel als er wat speelt.  * De wereld is nu geen leuke plek. De klimaatveranderingen worden steeds heftiger en we krijgen steeds meer een maatschappij die om zichzelf en niet elkaar draait. Ook de sociale media verpesten o.a. zoveel kinderen/jongeren. Dat legt zoveel druk op hen van 'je moet hieraan voldoen, je moet meedoen, dan pas is het perfect, dan pas ben je goed genoeg'. En als er mensen met slechte bedoelingen zijn, staat dat voor altijd online. En waar blijft het buiten spelen, creatief bezig zijn, leven in je fantasie? Allemaal stappen die dankzij alle technologieÃ«n steeds meer wegvallen waardoor kinderen minder goed ontwikkelen. Nee, het is geen leuk vooruitzicht om een kind daarin te zetten. ","kinderen chronisch ernstig ziek hierdoor zwangerschap bevalling zwaar opvoeding fysiek kind aandoen zieke moeder zitten nauwelijks kind hoort lekker kind verzorger zn ouder relatie waardoor praktisch gezien lastiger kind krijgen ouder gezondheid kind stabiele relatie aanbieden weet liefde geboren nodig kind krijgen spermadonor gekozen voelt egoãstisch bovenstaande punten belangrijkste redenen volgen financieel lastig komen zit krap kas dankzij uitkering gelukkig dankbaar krijg inkomen kind armoede opgroeit luxe nodig zorgen basisdingen kopen eten kleding enz fijn kind soort zorgen opzadelen klein merken speelt wereld leuke plek klimaatveranderingen heftiger krijgen maatschappij elkaar draait sociale media verpesten o a zoveel kinderenjongeren legt zoveel druk hieraan voldoen meedoen perfect goed genoeg mensen slechte bedoelingen staat online blijft spelen creatief bezig leven fantasie allemaal stappen dankzij technologieãn wegvallen waardoor kinderen goed ontwikkelen leuk vooruitzicht kind zetten","chronisch_ernstig ernstig_ziek ziek_hierdoor zieke_moeder kind_hoort hoort_lekker lekker_kind zn_ouder relatie_waardoor praktisch_gezien stabiele_relatie relatie_aanbieden liefde_geboren voelt_egoãstisch bovenstaande_punten belangrijkste_redenen financieel_lastig komen_zit kas_dankzij uitkering_gelukkig armoede_opgroeit opgroeit_luxe kopen_eten eten_kleding kleding_enz soort_zorgen zorgen_opzadelen leuke_plek elkaar_draait sociale_media media_verpesten verpesten_o o_a a_zoveel zoveel_kinderenjongeren legt_zoveel zoveel_druk hieraan_voldoen goed_genoeg slechte_bedoelingen spelen_creatief creatief_bezig fantasie_allemaal allemaal_stappen wegvallen_waardoor waardoor_kinderen goed_ontwikkelen leuk_vooruitzicht"
152,"De wens is er zeker. Er bestaat echter de kans dat dat wij geen kinderen kunnen krijgen. Partner wil dan geen IVF traject of dergelijke. ","wens zeker bestaat kans kinderen krijgen partner ivf traject dergelijke","krijgen_partner ivf_traject"
153,"Mijn leven is zo gelopen. Ik ben 43 zonder partner, en nooit een kinderwens gehad. Misschien als ik bij een jeugdliefde gebleven was, het anders was verlopen, maar heb er nooit bewust een keuze in gemaakt. Op deze leeftijd zonder partner wil ik zeker geen kind op de wereld zetten, mocht het Ã¼berhaupt nog kunnen. ","leven gelopen 43 partner kinderwens jeugdliefde gebleven verlopen bewust keuze gemaakt leeftijd partner zeker kind wereld zetten ãberhaupt","jeugdliefde_gebleven wereld_zetten"
154,"Wij willen geen kinderen meer. Vinden ons gezin compleet. Onze dochter is 8, geen behoefte om alles weer opnieuw mee te moeten maken. ","kinderen vinden gezin compleet dochter 8 behoefte mee","gezin_compleet"
155,"Ik ben door een operatie in 2017 voor het eerst geconfronteerd met de vraag of ik een kinderwens had. Ik was toen 37 en werd eigenlijk overdonderd, nooit verder gedacht dat ik ook kinderen kon hebben of willen. Ik ben vanaf mijn 30ste vrijgezel geweest en niet gedacht dat ik ooit nog een partner zou vinden. Op mijn 35ste vind ik die partner en deze vertelde dat hij echt geen kinderen wil. Ik vond en vind dit nog steeds zijn keuze. Nooit gedacht of gedroomd dat ik kinderen zou hebben of krijgen. Heb voor 12,5 jaar een geweldig hondje mogen hebben waar ik zielsveel van hield en dat is in 2019 overleden. Ik heb ook niet de behoefte gehad om haar te vervangen. Op dit moment Jan ik gaan en staan waar we willen, hoeven niks te regelen voor iemand of iets. Ik vind dit een erg prettige gedachte en heb er grote vrede mee. Nadat ik in 2017 de vraag kinderwens kreeg was ik zo van slag dat ik een psycholoog heb benaderd omdat ik zeker wilde zijn dat ik echt geen kinderen wilde. In ieder geval niet voor mezelf maar ook niet voor een ander (mijn ouders). De keuze geen kinderen was na 2 sessies erg duidelijk en erg verhelderend geweest. Ik leef nu en geniet er erg van. ","operatie 2017 geconfronteerd vraag kinderwens 37 overdonderd gedacht kinderen 30ste vrijgezel gedacht partner vinden 35ste vind partner vertelde echt kinderen vond vind keuze gedacht gedroomd kinderen krijgen 12 5 jaar geweldig hondje zielsveel hield 2019 overleden behoefte vervangen moment jan gaan staan hoeven regelen vind prettige gedachte grote vrede mee 2017 vraag kinderwens kreeg slag psycholoog benaderd zeker wilde echt kinderen wilde geval ouders keuze kinderen 2 sessies duidelijk verhelderend leef geniet","30ste_vrijgezel 35ste_vind 12_5 5_jaar geweldig_hondje 2019_overleden moment_jan prettige_gedachte grote_vrede vrede_mee vraag_kinderwens kinderwens_kreeg zeker_wilde kinderen_wilde 2_sessies"
156,"Afronding van studie, financiele consequenties van een kind. ","afronding studie financiele consequenties kind","studie_financiele financiele_consequenties"
157,"Ik werk zelf in de geboortezorg en ben mij er terdege van bewust dat een kind willen en een kind krijgen niet hetzelfde is. Het krijgen van mijn eerste kind ging makkelijk, maar dit zegt niet alles over een eventueel volgend kind. Oftewel; de wens is er zeker maar het antwoord â€˜waarschijnlijk welâ€™ geeft enige voorzichtigheid rondom de maakbaarheid en planbaarheid van een gezin weer. ","werk geboortezorg terdege bewust kind kind krijgen krijgen kind ging makkelijk zegt eventueel kind oftewel wens zeker antwoord âwaarschijnlijk welâ geeft voorzichtigheid maakbaarheid planbaarheid gezin","kind_krijgen kind_ging ging_makkelijk kind_oftewel antwoord_âwaarschijnlijk âwaarschijnlijk_welâ welâ_geeft"
158,"Ik vind 2 kinderen genoeg ","vind 2 kinderen genoeg","vind_2 2_kinderen kinderen_genoeg"
159,"Euh ik ben 43 jaar heb een tiener in huis, geen kinderwens meer. ","euh 43 jaar tiener huis kinderwens","43_jaar"
160,"Beide (ik en partner) studeren en werken fulltime. Hoe sneller we afstuderen hoe makkelijker je aan kinderen kan denken. Daarbij speelt de corona crisis ook een grote rol. We willen nog reizen en veel van de wereld zien voordat we aan kinderen beginnen. ","partner studeren werken fulltime sneller afstuderen makkelijker kinderen denken daarbij speelt corona crisis grote rol reizen wereld zien kinderen beginnen","partner_studeren werken_fulltime denken_daarbij daarbij_speelt corona_crisis grote_rol wereld_zien kinderen_beginnen"
161,"geen vriend nog ","vriend",NA
162,"Leeftijd, coronatijd / vaccinatie, weer in de luiers. ","leeftijd coronatijd vaccinatie luiers","leeftijd_coronatijd coronatijd_vaccinatie"
163,"Ik kan geen kinderen meer krijgen. Mijn eileiders zijn vanwege een kanker gen verwijderd. ","kinderen krijgen eileiders kanker gen verwijderd","kanker_gen gen_verwijderd"
165,"niet in mijn handen ","handen",NA
166,"Gelukkig met twee kinderen, gezin nu compleet. pittige zwangerschap en bevalling gehad ivm misselijkheid en inleiding. ","gelukkig kinderen gezin compleet pittige zwangerschap bevalling ivm misselijkheid inleiding","kinderen_gezin compleet_pittige pittige_zwangerschap ivm_misselijkheid"
167,"Ik weet niet of een kind mij geschonken wordt, mocht dit wel het geval zijn dan is het van harte welkom. ","weet kind geschonken geval harte welkom","harte_welkom"
168,"Ik ben dol op mijn eigen kinderen en zou graag nog meer kinderen krijgen willen. Zo bijzonder. Maar de 3 bevallingen zijn goed gegaan en de meiden zijn gezond. Het is iedere keer weer een wonder als alles goed gaat. Ik ben bang en onzeker of het bij toekomstige bevallingen ook zo gaat. En kinderen kosten veel geld, als je alles wilt geven en blijven doen. (Zoals vakanties, sporten, merkkleding) Financieel is het dan","dol kinderen graag kinderen krijgen bijzonder 3 bevallingen goed gegaan meiden gezond keer wonder goed gaat bang onzeker toekomstige bevallingen gaat kinderen kosten geld wilt geven blijven vakanties sporten merkkleding financieel","kinderen_krijgen 3_bevallingen goed_gegaan goed_gaat toekomstige_bevallingen kinderen_kosten wilt_geven vakanties_sporten sporten_merkkleding merkkleding_financieel"
